Categoria,Parametro,Valor,IC_95,Prueba_Estadistica,p_valor
ML_Métricas,Exactitud_Accuracy_Postest,90.85%,[89.50% - 92.10%],Bootstrap_1000,N/A
ML_Métricas,Sensibilidad_Recall_Postest,95.50%,[94.08% - 96.83%],Bootstrap_1000,N/A
ML_Métricas,Especificidad_Postest,86.20%,N/A,Matriz_Confusion,N/A
ML_Métricas,F1_Score_Postest,0.9126,[0.8991 - 0.9247],Bootstrap_1000,N/A
ML_Métricas,ROC_AUC_Postest,0.9722,[0.9653 - 0.9784],Bootstrap_1000,N/A
ML_Métricas,MCC_Matthews_Postest,0.8206 (82.06%),[0.7948 - 0.8442],Bootstrap_1000,N/A
ML_Inferencial,McNemar_Chi2,"221.1257 (b=309, c=33)",N/A,Prueba_McNemar_Pareada,0.0000e+00 (p < 0.001)
Tiempo_OE2,Tiempo_Pretest_vs_Postest,Pre: 38.04 min -> Post: 0.35 min (-99.09%),N/A,Wilcoxon_Pareado_N80,7.8495e-15 (p < 0.001)
Costo_OE3,Costo_Pretest_vs_Postest,Pre: S/. 24.67 -> Post: S/. 0.22 (-99.11%),N/A,Wilcoxon_Pareado_N80,7.8495e-15 (p < 0.001)
